txn_date,new_case,total_case,new_case_excludeabroad,total_case_excludeabroad,new_death,total_death,new_recovered,total_recovered,update_date
4/1/2021,26,28889,21,25787,0,94,122,27548,1/19/2022 7:23
4/2/2021,58,28947,45,25832,0,94,58,27606,1/19/2022 7:23
4/3/2021,84,29031,69,25901,1,95,62,27668,1/19/2022 7:23
4/4/2021,96,29127,87,25988,0,95,106,27774,1/19/2022 7:23
4/5/2021,194,29321,182,26170,0,95,66,27840,1/19/2022 7:23
4/6/2021,250,29571,245,26415,0,95,108,27948,1/19/2022 7:23
4/7/2021,334,29905,327,26742,0,95,121,28069,1/19/2022 7:23
4/8/2021,405,30310,391,27133,0,95,32,28101,1/19/2022 7:23
4/9/2021,559,30869,549,27682,1,96,27,28128,1/19/2022 7:23
4/10/2021,789,31658,781,28463,1,97,33,28161,1/19/2022 7:23
4/11/2021,967,32625,964,29427,0,97,53,28214,1/19/2022 7:23
4/12/2021,985,33610,980,30407,0,97,34,28248,1/19/2022 7:23
4/13/2021,965,34575,956,31363,0,97,40,28288,1/19/2022 7:23
4/14/2021,1338,35913,1330,32693,0,97,34,28322,1/19/2022 7:23
4/15/2021,1543,37456,1540,34233,0,97,61,28383,1/19/2022 7:23
4/16/2021,1582,39038,1576,35809,3,100,97,28480,1/19/2022 7:23
4/17/2021,1547,40585,1544,37353,0,100,90,28570,1/19/2022 7:23
4/18/2021,1767,42352,1765,39118,1,101,113,28683,1/19/2022 7:23
4/19/2021,1390,43742,1386,40504,3,104,104,28787,1/19/2022 7:23
4/20/2021,1443,45185,1441,41945,4,108,171,28958,1/19/2022 7:23
4/21/2021,1458,46643,1454,43399,2,110,413,29371,1/19/2022 7:23
4/22/2021,1470,48113,1470,44869,7,117,477,29848,1/19/2022 7:23
4/23/2021,2070,50183,2062,46931,4,121,341,30189,1/19/2022 7:23
4/24/2021,2839,53022,2827,49758,8,129,377,30566,1/19/2022 7:23
4/25/2021,2438,55460,2433,52191,11,140,547,31113,1/19/2022 7:23
4/26/2021,2048,57508,2037,54228,8,148,480,31593,1/19/2022 7:23
4/27/2021,2179,59687,2174,56402,15,163,1958,33551,1/19/2022 7:23
4/28/2021,2012,61699,2001,58403,15,178,851,34402,1/19/2022 7:23
4/29/2021,1871,63570,1864,60267,10,188,992,35394,1/19/2022 7:23
4/30/2021,1583,65153,1579,61846,15,203,860,36254,1/19/2022 7:23
5/1/2021,1891,67044,1884,63730,21,224,1821,38075,1/19/2022 7:23
5/2/2021,1940,68984,1930,65660,21,245,1183,39258,1/19/2022 7:23
5/3/2021,2041,71025,2040,67700,31,276,1726,40984,1/19/2022 7:23
5/4/2021,1763,72788,1750,69450,27,303,1490,42474,1/19/2022 7:23
5/5/2021,2112,74900,2107,71557,15,318,1886,44360,1/19/2022 7:23
5/6/2021,1911,76811,1902,73459,18,336,2435,46795,1/19/2022 7:23
5/7/2021,2044,78855,2040,75499,27,363,2377,49172,1/19/2022 7:23
5/8/2021,2419,81274,2409,77908,19,382,2247,51419,1/19/2022 7:23
5/9/2021,2101,83375,2086,79994,17,399,2186,53605,1/19/2022 7:23
5/10/2021,1630,85005,1622,81616,22,421,1603,55208,1/19/2022 7:23
5/11/2021,1919,86924,1902,83518,31,452,1829,57037,1/19/2022 7:23
5/12/2021,1983,88907,1974,85492,34,486,2006,59043,1/19/2022 7:23
5/13/2021,4887,93794,4871,90363,32,518,1572,60615,1/19/2022 7:23
5/14/2021,2256,96050,2251,92614,30,548,1701,62316,1/19/2022 7:23
5/15/2021,3095,99145,3092,95706,17,565,1351,63667,1/19/2022 7:23
5/16/2021,2302,101447,2279,97985,24,589,2136,65803,1/19/2022 7:23
5/17/2021,9635,111082,9626,107611,25,614,1397,67200,1/19/2022 7:23
5/18/2021,2473,113555,2450,110061,35,649,2718,69918,1/19/2022 7:23
5/19/2021,3394,116949,3377,113438,29,678,4450,74368,1/19/2022 7:23
5/20/2021,2636,119585,2578,116016,25,703,2268,76636,1/19/2022 7:23
5/21/2021,3481,123066,3469,119485,32,735,2868,79504,1/19/2022 7:23
5/22/2021,3052,126118,3011,122496,24,759,2900,82404,1/19/2022 7:23
5/23/2021,3382,129500,3377,125873,17,776,2131,84535,1/19/2022 7:23
5/24/2021,2713,132213,2664,128537,30,806,1565,86100,1/19/2022 7:23
5/25/2021,3226,135439,3207,131744,26,832,3094,89194,1/19/2022 7:23
5/26/2021,2455,137894,2439,134183,41,873,2571,91765,1/19/2022 7:23
5/27/2021,3323,141217,3302,137485,47,920,2063,93828,1/19/2022 7:23
5/28/2021,3759,144976,3741,141226,34,954,4044,97872,1/19/2022 7:23
5/29/2021,4803,149779,4752,145978,34,988,4439,102311,1/19/2022 7:23
5/30/2021,4528,154307,4501,150479,24,1012,2933,105244,1/19/2022 7:23
5/31/2021,5485,159792,5428,155907,19,1031,3101,108345,1/19/2022 7:23
6/1/2021,2230,162022,2209,158116,38,1069,3390,111735,1/19/2022 7:23
6/2/2021,3440,165462,3425,161541,38,1107,2843,114578,1/19/2022 7:23
6/3/2021,3886,169348,3837,165378,39,1146,3626,118204,1/19/2022 7:23
6/4/2021,2631,171979,2580,167958,31,1177,2493,120697,1/19/2022 7:23
6/5/2021,2817,174796,2761,170719,36,1213,3396,124093,1/19/2022 7:23
6/6/2021,2671,177467,2588,173307,23,1236,2424,126517,1/19/2022 7:23
6/7/2021,2419,179886,2387,175694,33,1269,2999,129516,1/19/2022 7:23
6/8/2021,2662,182548,2646,178340,29,1298,2483,131999,1/19/2022 7:23
6/9/2021,2680,185228,2669,181009,34,1332,4253,136252,1/19/2022 7:23
6/10/2021,2310,187538,2272,183281,43,1375,3035,139287,1/19/2022 7:23
6/11/2021,2290,189828,2260,185541,27,1402,5711,144998,1/19/2022 7:23
6/12/2021,3277,193105,3248,188789,29,1431,5273,150271,1/19/2022 7:23
6/13/2021,2804,195909,2743,191532,18,1449,4143,154414,1/19/2022 7:23
6/14/2021,3355,199264,3345,194877,17,1466,3530,157944,1/19/2022 7:23
6/15/2021,3000,202264,2995,197872,19,1485,4774,162718,1/19/2022 7:23
6/16/2021,2331,204595,2302,200174,40,1525,4947,167665,1/19/2022 7:23
6/17/2021,3129,207724,3106,203280,30,1555,4651,172316,1/19/2022 7:23
6/18/2021,3058,210782,3039,206319,22,1577,4094,176410,1/19/2022 7:23
